mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_colsample_bytree,param_learning_rate,param_max_depth,param_n_estimators,param_subsample,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score
3.532712936401367,0.061117429273106316,0.23254704475402832,0.03172131016869049,1.0,0.05,5,100,0.8,"{'colsample_bytree': 1.0, 'learning_rate': 0.05, 'max_depth': 5, 'n_estimators': 100, 'subsample': 0.8}",0.8503477708699441,0.8454302464669138,0.8575985350798174,0.8511255174722251,0.004998031564176033,29
3.3704234759012857,0.1297192476585121,0.23313117027282715,0.04103299588563642,1.0,0.05,5,100,1.0,"{'colsample_bytree': 1.0, 'learning_rate': 0.05, 'max_depth': 5, 'n_estimators': 100, 'subsample': 1.0}",0.8495946365019124,0.8442488592229426,0.8504511422537915,0.8480982126595489,0.0027442718446107173,33
6.264315287272136,0.04071090948466973,0.36402686436971027,0.03621534439839697,1.0,0.05,5,200,0.8,"{'colsample_bytree': 1.0, 'learning_rate': 0.05, 'max_depth': 5, 'n_estimators': 200, 'subsample': 0.8}",0.9265915501277375,0.927595729285113,0.9254987669270641,0.9265620154466383,0.0008563359955100307,24
6.408908685048421,0.10389466550785555,0.4025258223215739,0.008975423740726145,1.0,0.05,5,200,1.0,"{'colsample_bytree': 1.0, 'learning_rate': 0.05, 'max_depth': 5, 'n_estimators': 200, 'subsample': 1.0}",0.9333106900778239,0.9301061771785519,0.9227077395631821,0.928708202273186,0.004440074344798768,22
4.782652139663696,0.09566405359650158,0.3276376724243164,0.017257392038271934,1.0,0.05,7,100,0.8,"{'colsample_bytree': 1.0, 'learning_rate': 0.05, 'max_depth': 7, 'n_estimators': 100, 'subsample': 0.8}",0.9416985395100197,0.9492741852119851,0.9495990667040772,0.946857263808694,0.0036501793826491788,17
4.67961311340332,0.13284077586484644,0.2598770459493001,0.0331810810987728,1.0,0.05,7,100,1.0,"{'colsample_bytree': 1.0, 'learning_rate': 0.05, 'max_depth': 7, 'n_estimators': 100, 'subsample': 1.0}",0.9385530959729462,0.9424369065375017,0.9473248962594326,0.9427716329232935,0.0035888857492272453,18
8.349208990732828,0.18181626363248293,0.801311175028483,0.0606539038554949,1.0,0.05,7,200,0.8,"{'colsample_bytree': 1.0, 'learning_rate': 0.05, 'max_depth': 7, 'n_estimators': 200, 'subsample': 0.8}",0.9853064961531078,0.9874625278733553,0.9853212634936575,0.9860300958400402,0.001012900345916674,6
8.438340346018473,0.34381782298526725,0.7050481637318929,0.09466468864979642,1.0,0.05,7,200,1.0,"{'colsample_bytree': 1.0, 'learning_rate': 0.05, 'max_depth': 7, 'n_estimators': 200, 'subsample': 1.0}",0.9825302361297754,0.9820576812321868,0.983120929751761,0.9825696157045744,0.00043496162035876494,8
2.701864004135132,0.1172667132007648,0.1248316764831543,0.015394734691291805,1.0,0.1,3,100,0.8,"{'colsample_bytree': 1.0, 'learning_rate': 0.1, 'max_depth': 3, 'n_estimators': 100, 'subsample': 0.8}",0.7867153004415435,0.7913965473957795,0.8078325974275293,0.7953148150882839,0.009055373148253876,38
2.5715904235839844,0.11420060775467071,0.13547635078430176,0.015428155413822782,1.0,0.1,3,100,1.0,"{'colsample_bytree': 1.0, 'learning_rate': 0.1, 'max_depth': 3, 'n_estimators': 100, 'subsample': 1.0}",0.7896540012109219,0.79507361519264,0.7968161613774976,0.7938479259270199,0.003049685250952212,39
